campaign_id,platform,date,spend,impressions,clicks,conversions,revenue
C-001,Meta,2024-01-01,156.27,28284,791,29,535.54
C-002,Meta,2024-01-01,336.96,72677,1591,23,405.2
C-003,Meta,2024-01-01,91.56,18331,440,15,277.46
C-004,Google,2024-01-01,182.43,34445,1591,130,1010.24
C-005,Google,2024-01-01,229.27,47671,1588,59,886.44
C-006,Google,2024-01-01,266.27,48916,859,17,439.29
C-007,Google,2024-01-01,141.98,29700,960,43,424.1
C-008,TikTok,2024-01-01,60.94,12990,672,59,448.95
C-009,TikTok,2024-01-01,95.52,17368,606,25,300.52
C-010,TikTok,2024-01-01,183.97,33857,1738,21,370.67
C-011,Meta,2024-01-01,115.33,21725,545,22,337.27
C-012,Google,2024-01-01,165.24,30874,1088,40,509.65
C-001,Meta,2024-01-02,172.03,35369,1079,45,607.12
C-002,Meta,2024-01-02,346.5,65544,1408,19,451.3
C-003,Meta,2024-01-02,91.33,19884,619,22,277.21
C-004,Google,2024-01-02,174.36,37763,1678,116,1047.19
C-005,Google,2024-01-02,213.87,40744,1462,68,705.21
C-006,Google,2024-01-02,256.42,56387,1130,17,354.53
C-007,Google,2024-01-02,114.78,23541,819,31,309.23
C-008,TikTok,2024-01-02,57.87,12722,641,58,461.76
C-009,TikTok,2024-01-02,76.81,16040,642,29,257.17
C-010,TikTok,2024-01-02,208.46,38452,2073,24,497.37
C-011,Meta,2024-01-02,133.53,25442,687,22,420.17
C-012,Google,2024-01-02,177.78,34122,1172,49,509.65
C-001,Meta,2024-01-03,161.81,32616,1060,42,440.21
C-002,Meta,2024-01-03,303.12,54797,1546,25,466.59
C-003,Meta,2024-01-03,94.23,17179,535,23,239.3
C-004,Google,2024-01-03,179.24,32759,1589,128,1035.18
C-005,Google,2024-01-03,208.44,42103,1369,63,692.35
C-006,Google,2024-01-03,255.79,51560,1102,18,386.15
C-007,Google,2024-01-03,149.31,30757,965,38,410.23
C-008,TikTok,2024-01-03,55.04,10651,546,40,363.03
C-009,TikTok,2024-01-03,78.42,16095,561,28,312.77
C-010,TikTok,2024-01-03,174.25,33023,1908,20,325.56
C-011,Meta,2024-01-03,135.68,27521,736,28,414.95
C-012,Google,2024-01-03,145.14,26687,862,34,459.85
C-001,Meta,2024-01-04,160.31,33173,1139,40,498.01
C-002,Meta,2024-01-04,304.57,65320,1509,20,419.82
C-003,Meta,2024-01-04,97.66,18666,483,20,278.38
C-004,Google,2024-01-04,199.51,40303,1569,135,1427.54
C-005,Google,2024-01-04,239.55,51995,2010,75,810.96
C-006,Google,2024-01-04,255.95,50176,870,15,469.14
C-007,Google,2024-01-04,120.84,25541,806,31,426.0
C-008,TikTok,2024-01-04,68.92,13937,742,53,465.96
C-009,TikTok,2024-01-04,102.66,20857,802,38,320.48
C-010,TikTok,2024-01-04,205.05,41033,2495,26,490.13
C-011,Meta,2024-01-04,104.88,19657,545,20,270.34
C-012,Google,2024-01-04,141.75,30562,931,39,469.85
C-001,Meta,2024-01-05,146.37,29763,898,40,426.83
C-002,Meta,2024-01-05,340.75,64588,1564,24,448.43
C-003,Meta,2024-01-05,94.49,19849,484,18,315.0
C-004,Google,2024-01-05,206.79,37828,1555,108,1518.84
C-005,Google,2024-01-05,233.99,50347,1693,63,875.22
C-006,Google,2024-01-05,297.1,60747,1392,26,405.17
C-007,Google,2024-01-05,142.37,27331,917,41,392.93
C-008,TikTok,2024-01-05,53.08,9781,496,36,394.2
