date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,offering,audience,funnel_stage
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,Traffic,Personal Loans,First-time investors,consideration
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,Traffic,Language Learning Platform,Career changers,retention
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,Brand Awareness,Telemedicine App,Chronic pain sufferers,consideration
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,Revenue Efficiency,Video Editing Tool,Enterprise IT teams,conversion
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,Increase Sales,Health Insurance Plan,Seniors over 65,retention
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,Increase Sales,Crypto Exchange,First-time investors,conversion
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,Brand Awareness,K-12 Tutoring,High school students,retention
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,Brand Awareness,Language Learning Platform,HR managers,awareness
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,Increase Sales,Smart Home Gadgets,Eco-conscious Gen Z,conversion
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,Increase Sales,Personal Loans,Small business owners,conversion
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,Increase Sales,Project Management Platform,Freelancers,consideration
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,Brand Awareness,Video Editing Tool,E-commerce store owners,awareness
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,Brand Awareness,Language Learning Platform,High school students,awareness
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,Revenue Efficiency,Luxury Beauty Products,Early tech adopters,conversion
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,Brand Awareness,Crypto Exchange,Tech-savvy millennials,consideration
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,Traffic,Personal Loans,Tech-savvy millennials,awareness
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,Traffic,Project Management Platform,Freelancers,conversion
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,Traffic,Cybersecurity Suite,Enterprise IT teams,retention
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,Brand Awareness,Personal Loans,First-time investors,conversion
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,Increase Sales,Language Learning Platform,HR managers,consideration
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,Brand Awareness,Video Editing Tool,Enterprise IT teams,awareness
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,Increase Sales,Health Insurance Plan,Chronic pain sufferers,awareness
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,Revenue Efficiency,Telemedicine App,New parents,consideration
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,Revenue Efficiency,Video Editing Tool,Enterprise IT teams,awareness
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,Revenue Efficiency,Project Management Platform,Enterprise IT teams,conversion
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,Increase Sales,Medical Device,New parents,retention
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,Revenue Efficiency,Luxury Beauty Products,Eco-conscious Gen Z,consideration
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,Revenue Efficiency,K-12 Tutoring,Career changers,consideration
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,Traffic,Telemedicine App,Seniors over 65,retention
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,Revenue Efficiency,Personal Loans,First-time investors,consideration
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,Brand Awareness,K-12 Tutoring,Career changers,consideration
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,Brand Awareness,Telemedicine App,Seniors over 65,awareness
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,Revenue Efficiency,Pet Subscription Box,Eco-conscious Gen Z,retention
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,Traffic,Investment App,Tech-savvy millennials,awareness
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,Revenue Efficiency,Investment App,First-time investors,awareness
