date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,spend,conversions,CPA,conversion_value,ROAS,primary_goal,kpis,offering,audience,funnel_stage,ctr,cpc,cpm,cvr,cpa,roas,aov
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,consideration,0.03528370570751094,1.26,44.45746919146378,0.07524846190250828,16.744528301886792,1.8041864797662241,30.210251572327046
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,Increase free trial signups,"impressions,reach",Language Learning Platform,Career changers,retention,0.038493304229838946,1.1800000000000002,45.422098991209964,0.07873563218390804,14.986861313868614,10.410851353984024,156.02598540145985
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,Retarget previous site visitors,"conversions,cvr",Telemedicine App,Chronic pain sufferers,consideration,0.06489876832082156,0.8500000000000001,55.16395307269832,0.04456685027541312,19.072471910112363,2.0597700472277043,39.284906367041195
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,Increase annual plan upgrades,"revenue,roas",Video Editing Tool,Enterprise IT teams,conversion,0.07069431705835408,1.32,93.31649851702738,0.04987363100252738,26.46689189189189,6.4467424880651505,170.62523648648647
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,Retarget previous site visitors,"bookings,cpa",Health Insurance Plan,Seniors over 65,retention,0.04889605367782413,1.9300000000000002,94.36938359820057,0.02383604366228559,80.96981308411215,0.3889219127469912,31.490934579439255
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion,0.03169502418563745,0.42000000000000004,13.31191015796773,0.04055496264674493,10.356315789473685,8.15581643543223,84.46421052631578
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,Scale awareness in new markets,"impressions,reach",K-12 Tutoring,High school students,retention,0.0556924434306373,0.6599999999999999,36.75701266422062,0.07496136012364761,8.804536082474227,28.1891626855885,248.1925
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,Scale awareness in new markets,"leads,cpl",Language Learning Platform,HR managers,awareness,0.030285400303823654,0.5900000000000001,17.868386179255957,0.0672358591248666,8.775079365079366,29.902555939438884,262.39730158730157
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,Maximize ROAS for holiday sale,"revenue,roas",Smart Home Gadgets,Eco-conscious Gen Z,conversion,0.03199544085321176,1.56,49.91288773101034,0.04103053435114504,38.02046511627907,4.715385838715991,179.28116279069766
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,Reduce CPL for loan applications,"installs,cpi",Personal Loans,Small business owners,conversion,0.029394616374856405,1.72,50.55874016475301,0.012765121759622938,134.74215384615385,1.4066947240541479,189.54107692307693
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,Drive demo requests,"revenue,roas",Project Management Platform,Freelancers,consideration,0.014496586047205441,0.5700000000000001,8.263054046907103,0.07436856875584659,7.664528301886793,34.82036006761525,266.8816352201258
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,Reduce churn by retargeting,"revenue,roas",Video Editing Tool,E-commerce store owners,awareness,0.03439453259152414,2.68,92.1773473452847,0.07264103844233649,36.89374570446736,7.305122540070491,269.5133333333333
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,Increase free trial signups,"leads,cpl",Language Learning Platform,High school students,awareness,0.05597836175121317,0.68,38.06528599082496,0.04358124111795358,15.60304347826087,9.682378019895785,151.07456521739132
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,Launch new product line,"conversion_value,cvr",Luxury Beauty Products,Early tech adopters,conversion,0.07309256109198026,1.11,81.13274281209807,0.02752944515396623,40.32046391752577,4.694020968605899,189.2651030927835
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,Increase new app installs,"leads,cpl",Crypto Exchange,Tech-savvy millennials,consideration,0.04799540319607971,0.35000000000000003,16.798391118627897,0.022362773887508472,15.651010101010101,18.140927425860788,283.92383838383836
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,Increase new app installs,"leads,cpl",Personal Loans,Tech-savvy millennials,awareness,0.09289687854125889,0.97,90.10997218502112,0.03215968949265317,30.161982758620688,2.511871246916791,75.76301724137932
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,Reduce churn by retargeting,"demos,cpa",Project Management Platform,Freelancers,conversion,0.024399197688833085,2.1,51.23831514654948,0.059092891408634975,35.53726937269373,3.575475048283596,127.06261992619926
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,Increase annual plan upgrades,"leads,cpl",Cybersecurity Suite,Enterprise IT teams,retention,0.04668709528214616,1.15,53.69015957446808,0.0718266253869969,16.010775862068964,2.339458877372459,37.45655172413793
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,Maximize ROAS on credit card signups,"leads,cpl",Personal Loans,First-time investors,conversion,0.03169571254803604,0.9,28.526141293232435,0.06792324673119375,13.250250000000001,7.797330239052092,103.316575
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,Scale awareness in new markets,"signups,cpa",Language Learning Platform,HR managers,consideration,0.0674975695319613,0.8500000000000001,57.37293410216711,0.028882792257277853,29.429287598944594,5.046751302258443,148.52229551451185
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,Reduce churn by retargeting,"demos,cpa",Video Editing Tool,Enterprise IT teams,awareness,0.04329955014835533,1.8,77.93919026703959,0.0754021859265627,23.871986970684038,8.47575286203556,202.3330618892508
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,Retarget previous site visitors,"conversions,cvr",Health Insurance Plan,Chronic pain sufferers,awareness,0.022896121812886413,0.5299999999999999,12.1349445608298,0.07855389422004017,6.7469602272727265,11.462817851473517,77.33917613636363
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,New parents,consideration,0.04549752544964391,3.6100000000000003,164.2460668732145,0.04499226177315941,80.23601965601966,2.1889410418770665,175.63191646191646
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,Reduce churn by retargeting,"leads,cpl",Video Editing Tool,Enterprise IT teams,awareness,0.02579685421553396,2.06,53.14151968399996,0.05550088565243062,37.11652482269504,2.3117678081105506,85.80478723404255
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,Drive demo requests,"revenue,roas",Project Management Platform,Enterprise IT teams,conversion,0.03589660865769647,1.82,65.33182775700757,0.03436426116838488,52.962,5.341471243533099,282.895
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,retention,0.04038442083965604,1.27,51.28821446636318,0.04909819639278557,25.866530612244897,3.6503203256907515,94.4211224489796
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,Clearance of old stock,"conversion_value,cvr",Luxury Beauty Products,Eco-conscious Gen Z,consideration,0.02329693786262497,1.23,28.655233571028717,0.01616887491578711,76.07208333333332,1.5276921194992321,116.2147222222222
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,Increase free trial signups,"signups,cpa",K-12 Tutoring,Career changers,consideration,0.051099020674646355,0.53,27.08248095756257,0.07815161839863714,6.781689373297003,44.07477660634502,298.90144414168935
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,Improve acquisition efficiency,"conversions,cvr",Telemedicine App,Seniors over 65,retention,0.06736717227353614,2.97,200.08050165240235,0.07169811320754717,41.42368421052632,1.6797958621857991,69.58333333333333
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,Reduce CPL for loan applications,"installs,cpi",Personal Loans,First-time investors,consideration,0.030099109969782288,1.0,30.099109969782287,0.033064930615041975,30.243523316062177,4.870531094740449,147.30202072538862
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,Improve lead quality for high-ticket courses,"leads,cpl",K-12 Tutoring,Career changers,consideration,0.027181445340121624,2.22,60.34280865507,0.07075962539021852,31.373823529411766,2.880454856521454,90.37088235294118
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,Retarget previous site visitors,"bookings,cpa",Telemedicine App,Seniors over 65,awareness,0.06849520833959204,0.5,34.24760416979602,0.030592105263157896,16.344086021505376,18.286399122807016,298.87448028673833
2024-01-12,Meta Ads,Video,E-commerce,Canada,104657,4029,0.0385,0.71,2860.59,204,14.02,10401.62,3.64,Clearance of old stock,"revenue,roas",Pet Subscription Box,Eco-conscious Gen Z,retention,0.038497186045845,0.7100000000000001,27.33300209254995,0.05063291139240506,14.0225,3.6361799488916624,50.98833333333334
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11,Increase new app installs,"leads,cpl",Investment App,Tech-savvy millennials,awareness,0.05559830041341295,1.84,102.30087276067984,0.05287617473923371,34.79828125,4.107261044681625,142.925625
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54,Reduce CPL for loan applications,"leads,cpl",Investment App,First-time investors,awareness,0.06816292601828762,1.93,131.55444721529508,0.06829268292682927,28.260714285714283,5.539390875774043,156.54714285714286
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38,Retarget previous site visitors,"bookings,cpa",Medical Device,New parents,consideration,0.040871474413105895,1.9400000000000002,79.29066036142544,0.04132231404958678,46.948,1.381805401721053,64.873
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19,Improve lead quality for high-ticket courses,"impressions,reach",Professional Certifications,HR managers,conversion,0.06409926640807466,1.6,102.55882625291946,0.04911717495987159,32.57516339869281,8.187110754414125,266.6964705882353
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89,Increase appointment bookings,"conversions,cvr",Wellness Supplement,New parents,retention,0.029787669131931427,1.49,44.383627006577825,0.04805491990846682,31.006190476190476,4.894049575353616,151.74583333333334
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19,Drive demo requests,"revenue,roas",CRM Software,Freelancers,consideration,0.049299419571888055,0.99,48.80642537616917,0.05418072740907386,18.272179930795847,5.190366355720687,94.83930795847752
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03,Launch new product line,"sales,cpa",Pet Subscription Box,Eco-conscious Gen Z,retention,0.03039632890788932,0.79,24.01309983723256,0.07096774193548387,11.131818181818181,25.030551245406286,278.6355454545454
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65,Improve lead quality for high-ticket courses,"signups,cpa",Language Learning Platform,High school students,retention,0.051297134238310706,1.53,78.48461538461538,0.014260511614231109,107.28927835051546,0.651412598755076,69.88958762886598
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91,Reduce CPL for loan applications,"conversion_value,roas",Crypto Exchange,First-time investors,conversion,0.03739513592906638,1.13,42.25650359984501,0.047469879518072286,23.804568527918782,3.9054867256637165,92.96842639593908
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74,Scale awareness in new markets,"impressions,reach",Professional Certifications,High school students,conversion,0.04129566733982008,2.6300000000000003,108.60760510372683,0.03528757988330092,74.53047244094489,2.742470711657336,204.39763779527559
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67,Increase new app installs,"conversion_value,roas",Crypto Exchange,First-time investors,awareness,0.011694374024960999,0.66,7.7182868564742595,0.07243355914538822,9.11179856115108,5.669911728014907,51.66309352517985
